MRP管理者	転記日付	WBS番号	ネットワーク・指図番号	受領者	品目コード	品目テキスト	計画数	完成数	単位（完成数）	プラント	保管場所	ﾈｯﾄﾜｰｸ完了	指図完了	入出庫伝票	明細	移動タイプ	移動区分	D/C	単価	金額	最低販売単価or製品単価	製品金額合計
B10	20241018		000010124632		A00A1201200	SW-V02    (REACH)	15	15.000	PC	P100	1911		X	5002927541	0001	101	F	S	284400.00000	4266000.00000	410000.00000	6150000.00000
B10	20241018		000010130573		A6A934600	GED028060  28KHZ  600W	20	1.000	PC	P100	1911			5002927513	0001	101	F	S	111354.00000	111354.00000	138000.00000	138000.00000
B10	20241018		000010130573		A6A934600	GED028060  28KHZ  600W	20	1.000	PC	P100	1911			5002927514	0001	101	F	S	111354.00000	111354.00000	138000.00000	138000.00000
B10	20241018		000010130573		A6A934600	GED028060  28KHZ  600W	20	1.000	PC	P100	1911			5002927515	0001	101	F	S	111354.00000	111354.00000	138000.00000	138000.00000
B10	20241018		000010130573		A6A934600	GED028060  28KHZ  600W	20	1.000	PC	P100	1911			5002927516	0001	101	F	S	111354.00000	111354.00000	138000.00000	138000.00000
B10	20241018		000010130573		A6A934600	GED028060  28KHZ  600W	20	1.000	PC	P100	1911			5002927517	0001	101	F	S	111354.00000	111354.00000	138000.00000	138000.00000
B10	20241018		000010130573		A6A934600	GED028060  28KHZ  600W	20	1.000	PC	P100	1911			5002927518	0001	101	F	S	111354.00000	111354.00000	138000.00000	138000.00000
B10	20241018		000010130573		A6A934600	GED028060  28KHZ  600W	20	1.000	PC	P100	1911			5002927519	0001	101	F	S	111354.00000	111354.00000	138000.00000	138000.00000
B10	20241018		000010130573		A6A934600	GED028060  28KHZ  600W	20	1.000	PC	P100	1911			5002927520	0001	101	F	S	111354.00000	111354.00000	138000.00000	138000.00000
B10	20241018		000010130573		A6A934600	GED028060  28KHZ  600W	20	1.000	PC	P100	1911			5002927521	0001	101	F	S	111354.00000	111354.00000	138000.00000	138000.00000
B10	20241018		000010130573		A6A934600	GED028060  28KHZ  600W	20	1.000	PC	P100	1911			5002927522	0001	101	F	S	111354.00000	111354.00000	138000.00000	138000.00000
B10	20241018		000010130573		A6A934600	GED028060  28KHZ  600W	20	1.000	PC	P100	1911			5002927523	0001	101	F	S	111354.00000	111354.00000	138000.00000	138000.00000
B10	20241018		000010130573		A6A934600	GED028060  28KHZ  600W	20	1.000	PC	P100	1911			5002927524	0001	101	F	S	111354.00000	111354.00000	138000.00000	138000.00000
B10	20241018		000010130573		A6A934600	GED028060  28KHZ  600W	20	1.000	PC	P100	1911			5002927525	0001	101	F	S	111354.00000	111354.00000	138000.00000	138000.00000
B10	20241018		000010130573		A6A934600	GED028060  28KHZ  600W	20	1.000	PC	P100	1911			5002927526	0001	101	F	S	111354.00000	111354.00000	138000.00000	138000.00000
B10	20241018		000010130573		A6A934600	GED028060  28KHZ  600W	20	1.000	PC	P100	1911			5002927527	0001	101	F	S	111354.00000	111354.00000	138000.00000	138000.00000
B10	20241018		000010130573		A6A934600	GED028060  28KHZ  600W	20	1.000	PC	P100	1911			5002927528	0001	101	F	S	111354.00000	111354.00000	138000.00000	138000.00000
B10	20241018		000010130573		A6A934600	GED028060  28KHZ  600W	20	1.000	PC	P100	1911			5002927529	0001	101	F	S	111354.00000	111354.00000	138000.00000	138000.00000
B10	20241018		000010130573		A6A934600	GED028060  28KHZ  600W	20	1.000	PC	P100	1911			5002927530	0001	101	F	S	111354.00000	111354.00000	138000.00000	138000.00000
B10	20241018		000010130573		A6A934600	GED028060  28KHZ  600W	20	1.000	PC	P100	1911			5002927531	0001	101	F	S	111354.00000	111354.00000	138000.00000	138000.00000
B10	20241018		000010130573		A6A934600	GED028060  28KHZ  600W	20	1.000	PC	P100	1911		X	5002927532	0001	101	F	S	111354.00000	111354.00000	138000.00000	138000.00000
B10	20241018		000010130649		U00A0246901	＆SDU-116RFC21N20-I	2	2.000	PC	P100	1210		X	5002927534	0001	101	F	S	24721.00000	49442.00000	0.00000	0.00000
B10	20241018		000010130652		U00A0247301	&SDU-130RFC22N30-I	60	60.000	PC	P100	1210		X	5002927546	0001	101	F	S	27036.00000	1622160.00000	0.00000	0.00000
B10	20241018		000010130650		U0A446003	&BKU-12RFA21/01       30A	10	10.000	PC	P100	1210		X	5002927540	0001	101	F	S	8778.00000	87780.00000	0.00000	0.00000
B10	20241018		000010131409		U0A970800	SPU-2100	10	1.000	PC	P100	1910			5002927492	0001	101	F	S	27022.00000	27022.00000	27000.00000	27000.00000
B10	20241018		000010131409		U0A970800	SPU-2100	10	1.000	PC	P100	1910			5002927493	0001	101	F	S	27022.00000	27022.00000	27000.00000	27000.00000
B10	20241018		000010131409		U0A970800	SPU-2100	10	1.000	PC	P100	1910			5002927494	0001	101	F	S	27022.00000	27022.00000	27000.00000	27000.00000
B10	20241018		000010131409		U0A970800	SPU-2100	10	1.000	PC	P100	1910			5002927495	0001	101	F	S	27022.00000	27022.00000	27000.00000	27000.00000
B10	20241018		000010131409		U0A970800	SPU-2100	10	1.000	PC	P100	1910			5002927496	0001	101	F	S	27022.00000	27022.00000	27000.00000	27000.00000
B10	20241018		000010131409		U0A970800	SPU-2100	10	1.000	PC	P100	1910			5002927497	0001	101	F	S	27022.00000	27022.00000	27000.00000	27000.00000
B10	20241018		000010131409		U0A970800	SPU-2100	10	1.000	PC	P100	1910			5002927498	0001	101	F	S	27022.00000	27022.00000	27000.00000	27000.00000
B10	20241018		000010131409		U0A970800	SPU-2100	10	1.000	PC	P100	1910			5002927499	0001	101	F	S	27022.00000	27022.00000	27000.00000	27000.00000
B10	20241018		000010131409		U0A970800	SPU-2100	10	1.000	PC	P100	1910			5002927500	0001	101	F	S	27022.00000	27022.00000	27000.00000	27000.00000
B10	20241018		000010131409		U0A970800	SPU-2100	10	1.000	PC	P100	1910		X	5002927511	0001	101	F	S	27022.00000	27022.00000	27000.00000	27000.00000
B10	20241018	I-0329548-20	000040157902		A00A2038400	FC-6K-20-S3-03 G1J-OMT3	3	1.000	PC	P100	1911	X		4907990876	0001	581		S	894032.00000	894032.00000	1725000.00000	1725000.00000
B10	20241021		000010130645		U00A0326300	FXP-RFC-4W-L16501	3	3.000	PC	P100	1210		X	5002927878	0001	101	F	S	85092.00000	255276.00000	0.00000	0.00000
B10	20241021		000010130646		U00A0326400	FXP-RFC-4W-R16501	1	1.000	PC	P100	1210		X	5002927875	0001	101	F	S	85127.00000	85127.00000	0.00000	0.00000
B10	20241023		000010131408		A00A1914900	UG-DP	100	1.000	PC	P100	1911			5002928567	0001	101	F	S	6473.00000	6473.00000	7000.00000	7000.00000
B10	20241023		000010131408		A00A1914900	UG-DP	100	1.000	PC	P100	1911			5002928568	0001	101	F	S	6473.00000	6473.00000	7000.00000	7000.00000
B10	20241023		000010131408		A00A1914900	UG-DP	100	1.000	PC	P100	1911			5002928569	0001	101	F	S	6473.00000	6473.00000	7000.00000	7000.00000
B10	20241023		000010131408		A00A1914900	UG-DP	100	1.000	PC	P100	1911			5002928570	0001	101	F	S	6473.00000	6473.00000	7000.00000	7000.00000
B10	20241023		000010131408		A00A1914900	UG-DP	100	1.000	PC	P100	1911			5002928571	0001	101	F	S	6473.00000	6473.00000	7000.00000	7000.00000
B10	20241023		000010131408		A00A1914900	UG-DP	100	1.000	PC	P100	1911			5002928572	0001	101	F	S	6473.00000	6473.00000	7000.00000	7000.00000
B10	20241023		000010131408		A00A1914900	UG-DP	100	1.000	PC	P100	1911			5002928573	0001	101	F	S	6473.00000	6473.00000	7000.00000	7000.00000
B10	20241023		000010131408		A00A1914900	UG-DP	100	1.000	PC	P100	1911			5002928574	0001	101	F	S	6473.00000	6473.00000	7000.00000	7000.00000
B10	20241023		000010131408		A00A1914900	UG-DP	100	1.000	PC	P100	1911			5002928575	0001	101	F	S	6473.00000	6473.00000	7000.00000	7000.00000
